3576.30	7.94	370.10	101.80	101.80	53.00	103.20	32.50	214.70	93.60	801.0	0.6694	2.78	311.91
3576.30	9.53	364.60	101.30	102.40	58.80	103.00	38.60	290.59	92.90	801.0	0.6694	3.70	288.60
3576.30	11.11	357.10	101.60	100.60	63.60	102.60	43.40	368.04	91.40	801.0	0.6694	4.52	248.79
3576.30	12.70	347.40	98.40	99.00	64.70	102.00	46.10	434.66	89.20	801.0	0.6694	5.22	223.56
3576.30	14.29	337.70	99.20	99.50	64.00	104.40	49.90	483.28	89.70	801.0	0.6694	5.77	215.15
3576.30	9.53	286.40	106.36	106.19	57.50	102.64	38.98	251.70	90.70	789.8	0.6750	3.08	241.13
3667.00	7.94	354.33	102.93	101.57	56.00	105.30	33.00	234.86	100.90	787.00	0.66	0	188.00
3667.00	9.53	350.20	103.19	103.32	61.00	105.20	39.06	326.22	100.10	787.00	0.66	0	178.00
3667.00	11.11	344.00	105.67	105.59	65.00	105.20	44.90	429.72	102.00	787.00	0.66	0	169.00
3667.00	12.70	336.70	108.10	108.14	42.00	105.10	49.84	532.28	103.80	787.00	0.66	0	162.00
3579.00	7.94	365.86	103.47	101.42	52.00	105.90	28.09	243.64	93.20	793.70	0.66	0	230.00
3579.00	9.53	342.27	103.20	104.18	58.00	105.70	35.10	313.85	92.00	793.70	0.66	0	201.00
3579.00	11.11	312.27	103.19	103.00	61.00	105.20	41.11	395.00	93.70	793.70	0.66	0	172.00
3579.00	12.70	291.74	103.23	103.92	62.00	104.50	44.14	435.04	89.60	793.70	0.66	0	157.00
3579.00	14.29	263.03	107.38	107.54	63.00	103.40	49.75	494.59	90.30	793.70	0.66	0	141.00
3582.50	9.53	292.00	105.51	105.03	56.00	104.60	37.79	273.40	92.10	783.00	0.67	0	172.00
3653.00	7.94	440.50	108.89	99.17	37.00	105.42	16.20	310.78	99.40	798.0	0.6540	4.23	385.42
3653.00	9.53	388.70	89.65	86.75	48.00	105.32	22.03	375.37	99.70	798.0	0.6540	4.71	295.50
3653.00	12.70	308.80	97.88	92.46	54.00	105.22	35.41	473.78	99.20	798.0	0.6540	5.73	255.68
3653.00	14.29	270.50	79.95	81.15	52.00	105.12	33.83	488.09	98.90	798.0	0.6540	5.78	233.96
3653.00	15.88	239.30	80.73	79.54	51.00	105.02	37.26	492.51	100.80	798.0	0.6540	5.76	223.11
3653.00	14.29	251.30	73.31	72.58	50.00	100.21	31.99	459.31	97.00	798.0	0.6540	5.25	199.63
